INT	INT	STRING	STRING	STRING	STRING	STRING	INT
186	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G炎帝、黄帝、蚩尤和尧舜禹的传说，是反映我国下列哪个时期？	父系氏族公社 	母系氏族公社 	奴隶社会初期	奴隶社会中期	1
187	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国播种面积最大油料作物分布在：	黄河流域	淮河流域	珠江流域	长江流域	4
188	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G谁曾将匈奴打出河套及其以西一带，出现“漠南无王庭”的局面？	秦始皇	汉武帝 	汉高祖	唐太宗	2
189	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G辽宁又称为：	热河	奉天	关东	满洲	2
190	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G撒哈拉以南的非洲分布最广的气候是：	热带沙漠气候 	热带草原气候 	热带雨林气候 	垂直气候带 	2
191	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G半坡遗址是哪个地方的原始母系社会遗址？	长江流域	黄河流域	珠江流域	闽江流域	2
192	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G目前地球上已知的最大陨石坑位于：	南美洲	非洲	大洋洲	北美洲 	4
193	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国最先出现的纸币是：	元代宝钞	宋代的“交子” 	宋代银票	宋代交钞	2
194	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“刘三姐”是我国哪个少数民族民间传说中的人物？	哈尼族	彝族	黎族	壮族 	4
195	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G素有“沙漠之舟”之称的内蒙古双峰驼生长在：	草原地区	平原地区	农耕地区	荒漠地区 	4
196	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在中国历史上，北部草原游牧各部中，谁建立了第一次统一的游牧军事政权？	鲜卑	匈奴	羌族	吐蕃	2
197	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G武则天的第一个老公是谁？	唐高宗	唐太宗 	唐中宗	唐宪宗	2
198	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G工业革命的发祥地在：	英国 	法国 	荷兰	奥地利	1
199	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国最大的猛犸象化石，是在什么地方出土的？	新疆	甘肃	宁夏	内蒙古 	4
200	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“旋风”是在哪个洋面上形成的台风？	印度洋	大西洋 	北冰洋	加勒比海	2
201	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“秦权”是什么？	秦朝标准砝码 	秦朝法令	秦朝政治制度	秦朝军事制度	1
202	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G古代著名的水利工程都江堰是谁设计的：	李斯	李冰 	诸葛亮	晁错	2
203	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪里的庙会在北京历史上时间最早、规模最大？	地坛	白云观	东岳庙 	白塔寺	3
204	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“麦加”是什么宗教的圣地？	基督教	犹太教	天主教	伊斯兰教 	4
205	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G中国古代的鲜卑山即为当今的：	大兴安岭山脉 	长白山地区	辽河流域	三江平原	1
206	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G古代在秋天执行的死刑叫什么？	斩首	凌迟	秋决 	车裂	3
207	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G《还珠格格》中的皇帝是：	道光	嘉庆	康熙	乾隆	4
208	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“滑铁卢”是失败的代名词，滑铁卢战役与谁无关？	罗马教皇	威灵顿	布吕希尔	内伊	1
209	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上最大的坐佛位于：	阿富汗	四川	陕西	山西	2
210	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G中亚气候的最大特征是：	干旱	多雨	湿润	寒冷	1
211	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G被称为“瓷都”的是我国哪一城市？	绍兴	杭州	景德镇 	开封	3
212	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G埃及地处非洲的：	东南部	西北部	中北部	东北部 	4
213	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上种植面积最大种植量最广泛的粮食作物是：	玉米	小麦 	水稻	大豆	2
214	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G南北朝时期有叫做“僚人入蜀”的一次大规模移民。请问他们是从哪里去的？	湖南	云南	湖北	贵州 	4
215	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G地质学家把地球的历史分成几个“代”，“代”下面还有“纪”，划分依据是：	陆地变迁	生物的演变	气候演变	时间断代	2
216	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G每个帝王陵区只有一个主神道，一般修在谁的陵前？	第一个埋葬者 	最后一个埋放者	第二个埋放者	都可以	1
217	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G蒙哥马利是什么人？	英国陆军元帅	德国陆军元帅	法国陆军元帅 	苏联陆军元帅	1
218	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G一年四季中，西藏没有哪一个季节？	春季	夏季	秋季 	冬季	2
219	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G把办理与银钱有关的大金融机构称为银行，最早见于：	《资政新篇》	《天演论》	《四国志》	《海国图志》	1
220	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G唐代的北方草原上，契丹酋长辗转臣服于唐朝和谁之间？	匈奴	吐蕃	突厥	蒙古	3
221	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“联合国教育、科学及文化组织”于1946年11月4日成立，总部设在：	巴黎 	伦敦	纽约	日内瓦	1
222	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G芒种是在阳历的几月？	5月	6月 	7月	8月	2
223	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G秦始皇时期修筑的唯一直道，从陕西咸阳出发，到达了哪里？	九原 	嘉峪关	娘子关	河套地区	1
224	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G好望角盛行什么风？	南风	北风	西风 	东风	3
225	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G珠穆朗玛峰高海拔多少米？	8844米 	8852米	8644米	8884米	1
226	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G光速约为：	35万公里每秒 	38万公里每秒 	28万公里每秒 	30万公里每秒 	4
227	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上落差最大的瀑布是：	安赫尔瀑布 	黄果树瀑布	尼亚加拉大瀑布	维多利亚瀑布	1
228	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G大气层厚度约为？	3000公里	2500公里	3500公里	4000公里	1
229	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下列哪个《射雕英雄传》中的人物是完全虚构的？	铁木真	托雷	桑昆	洪七公	4
230	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G蒙古语中的“召”，是什么意思？	旨意	喊话	庙宇 	宫殿	3
231	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G决定建立革命统一战线的会议是：	中共“一大” 	中共“二大” 	中共“三大” 	中共“七大” 	1
232	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G诺贝尔基金会管理诺贝尔奖金，基金会设在：	瑞典 	瑞士	法国	挪威	1
233	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在虎门抗击英国侵略军壮烈牺牲的爱国将领是：	关天培	邓世昌	琦英	岑毓英	1
234	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国古迹龙门石窟位于哪个城市？	山西大同	甘肃敦煌	宁夏中卫	河南洛阳 	4
235	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G平安王朝是哪个国家的？	日本 	朝鲜	百济	高丽	1
236	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G古建筑屋顶中等级最高的是：	重檐庑殿顶 	重檐	庑殿顶	琉璃顶	1
237	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G日本领土组成中，面积最大的岛屿是：	四国岛	北海道岛	九州岛	本州岛	4
238	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“回眸一笑百媚生”是指哪个美女？	杨贵妃	西施	王昭君	赵飞燕	1
239	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国最大的内陆咸水湖是：	纳木错	千岛湖	青海湖 	天池	3
240	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G湖南湖北的“湖”是指：	洞庭湖	鄱阳湖	洪泽湖	太湖	1
241	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哥伦布航海计划得到谁的支持才变成现实？	西班牙王后 	西班牙国王	西班牙太后	西班牙太子	1
242	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G西印度群岛位于：	大西洋西部	大西洋东部	大西洋南部	太平洋西部	1
243	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“白马非马”出自谁口？ 	陆游	郭守敬	公孙龙	王守仁	3
244	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国梁式桥型的精品杰作洛阳桥位于何地？	福建泉州	江西赣州	浙江湖州	广东广州	1
245	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G青藏高原平均海拔多少米？	4000米 	3500米 	5000米 	4500米 	4
246	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国第一大岛是：	台湾岛	海南岛	库页岛	东沙群岛	1
247	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪座长江大桥是我国第一座长江大桥？	武汉长江大桥 	南京长江大桥	安庆长江大桥	九江长江大桥	1
248	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G藏历新年，人们见面时都要说“扎西德勒”是什么意思？	幸福安康	万事如意	身体健康	吉祥如意 	4
249	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G美国国旗星条旗最初制定时旗上有多少颗星？	47颗	49颗	13颗	50颗	3
250	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G半月湾在什么县境内？	长岛县	沧县	象山县	静海县	1
251	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G4世纪后期，统一黄河流域的少数民族政权是：	前秦 	北魏	东晋	后汉	1
252	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G文艺复兴时期的《忏悔录》是谁写的？	狄更斯	卢梭	拜伦	雪莱	2
253	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪个国家设立了鸟蛋博物馆？	法国	英国	德国	美国	3
254	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我们可以看到的月亮最多占月亮表面积的多少？	59%	50%	40%	65%	1
255	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G大陆架”是什么？	海地山	海床	被淹没的大陆	大陆的海底延伸	4
256	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G生物发展的中间时期叫：	中生代 	古生代	白垩纪	侏罗纪	1
257	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G明朝“脸涂胡椒粉被仆役抬着四处走”的是谁？	海瑞	高拱	杨慎 	夏言	3
258	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G古诗云：“洞庭天下水，岳阳天下楼”。岳阳楼在哪座湖上？	鄱阳湖	洞庭湖 	洪泽湖	千岛湖	2
259	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G公元8世纪，大马士革是哪里的首都？	波斯帝国	阿拉伯王国	东罗马帝国	罗马帝国	2
260	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G除了太阳，宇宙中哪一颗恒星离我们最近？	白矮星	比邻星 	恒星	行星	2
261	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G被称为有野人出没的神农架在我国哪一省份？	四川 	湖北	湖南	江西	2
262	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G意大利的比萨斜塔实际上是比萨大教堂的钟楼，上面一共有几顶钟？	5顶 	7顶 	8顶 	9顶 	2
263	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“二人台”流行于：	江南	华南	内蒙 	东北	3
264	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G东南亚最长的国际性河流是：	尼罗河	怒江	恒河	湄公河 	4
265	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G清期中央机构开始半殖民地化的标志是： 	总理衙门设立 	南京条约签订	火烧圆明园	八国联军占北京	1
266	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G被称作“草原钢城”的是：	大同	呼和浩特	盘锦	包头 	4
267	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G强风是风力几级的风？	3级 	5级 	6级 	10级 	3
268	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界各地都有“船棺葬”的习俗，它的葬具的形状似：	帆船	渔船	平底船	独木舟 	4
269	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G目前最常见的白砂糖主要来自？	甘蔗	玉米	甜菜 	小麦	3
270	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界天气的推动力是？	太阳 	风	气流	洋流	1
271	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G假设你在宇宙飞船上烧一壶水，烧多少时间才会烧开呢？	一小时	不会烧开	一天	不知道	2
272	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G蛔虫生活在人体内属于什么关系？	寄生 	寄居	喂养	不清楚	1
273	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G第一架望远镜是由谁发明？	达尔文	伽利略 	亚里士多德	弗洛伊德	2
274	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G植物营养繁殖是植物体的营养器官产生新个体的繁殖方式，用匍匐茎繁殖的是：	草莓 	芨芨草	小麦	番茄	1
275	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G狮子座流星雨是由哪一颗彗星引起的？	坦普尔·塔特尔彗星 	哈雷彗星	索普彗星	奥尔齐格彗星	1
276	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G生活在里海和黑海里的欧鳇，寿命：	高于200年 	高于100年 	高于50年 	高于150年 	2
277	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G鱼有耳朵吗？	有	没有	咸水鱼有	淡水鱼有	1
278	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G天然气主要成分是？	乙炔	一氧化氮	甲烷 	乙烯	3
279	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G风能利用的最主要的形式是：	风力发电 	风力磨坊	探测天气	改善环境	1
280	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在微型计算机的汉字系统中，一个汉字的内码占多少字节？	4	2	8	1	2
281	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在草-兔-狼-虎这条食物链中，虎属于：	初级消费者	二级消费者	三级消费者 	四级消费者	3
282	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G青霉素发明于：	1928年 	1925年 	1914年 	1919年 	1
283	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G要进行夏眠的动物是： 	海参	海蜇	海马	珊瑚	1
284	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G石油是由水中的什么物质在高压作用下形成的？	植物残骸	动物残骸	矿物演变	微生物残骸 	4
285	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G糖尿病人比较适合吃的“糖”是：	木糖醇	方糖	蔗糖	麦芽糖	1
286	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G爱因斯坦著称于世的理论是：	博弈论	相对论 	进化论	能量守恒定律	2
287	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G娃娃鱼体长一般在几米左右？	1米 	2米 	3米 	5米 	1
288	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G金刚石的组成元素与下列什么物质相同：	煤炭	花岗岩	石墨 	石灰岩	3
289	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G动物中视角最大的是：	鹰	蛇	狗	鱼 	4
290	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪种鱼在产卵后后会死亡？	大马哈鱼 	大黄鱼	小黄鱼	比目鱼	1
291	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G从哪个部位可以知道马的年龄？ 	蹄子	鬃毛	耳朵	牙齿 	4
292	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G水分子有哪两种元素组成？	氢氮	氮氧	氢氧 	硫氧	3
293	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G脊椎动物中，什么动物才开始算是真正的陆生动物？	卵生动物	鱼类	爬行动物 	没有	3
294	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G最早的地铁是哪国建造的？	英国 	法国	美国	日本	1
295	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G黄河水污染使生态环境恶化，生物种群多样性丧失。你知道黄河原有鱼类多少种？	150多种 	200多种 	50多种 	70多种 	1
296	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G最高级的爬行动物是：	壁虎	鳄鱼 	蜥蜴	鸭嘴兽	2
297	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G丝绸之路的开辟可追溯到：	东汉	战国	西汉	西晋	3
298	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G其中哪国被我国赠送大熊猫？	日本	伊拉克	冰岛	东帝汶	1
299	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G现存鸟类中的最大的鸟蛋是：	企鹅	鸵鸟 	火鸡	秃鹫	2
300	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G北极星在哪个星座中？ 	天鹅座	天鹰座	小熊星座 	双子座	3
301	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G海绵是一种：	动物 	海藻	厥类	微生物	1
302	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上哪一种动物的寿命最长？	仙鹤	麋鹿	鲸鱼	乌龟 	4
303	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G开屏的孔雀是：	雄孔雀	雌孔雀	成年的孔雀	都可以	1
304	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上熔点最高的金属是：	金	钨 	铂	镍	2
305	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G爱因斯坦是哪国科学家？	德国	奥地利	美国	捷克	3
306	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G1869年3月，哪位科学家正式公布了元素周期律？	门捷列夫 	牛顿	焦耳	居里夫人	1
307	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G极地越野车是模仿什么动物行走而设计制造的？	北极狐	企鹅	北极熊	海象	2
308	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G目前在各种矿物质中硬度最大的是：	石墨	钛	金刚石 	钛铝合金	3
309	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G内蒙古草原上的芨芨草最高可达：	2米 	3米 	4米 	5米 	1
310	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G玫瑰花没有什么颜色？	绿色	粉色	红色	白色	1
311	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G鸟类中最小的是：	蜂鸟 	麻雀	黄莺	黄鹂	1
312	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G彩虹的顶部是什么颜色的？	红 	黄	蓝	橙	1
313	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G鸭嘴兽的体温是：	30度	40度	35度	不稳定	4
314	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在真空里同样为1吨重的木头和铁，在空气里哪个更重？	铁	木头 	一样重	没有重量	2
315	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G动物中的跳高冠军是谁？	跳骚	袋鼠	考拉	美洲山狮 	4
316	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G有“千岛国”之称的是？	菲律宾	海地	日本	印度尼西亚 	4
317	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G黑洞的颜色是？	无颜色	褐色	黑色	五光十色	1
318	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界上长颈鹿的脖子最长有：	3米左右 	4米左右 	6米左右 	8米左右 	3
319	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G圣马力诺被称为“国中之国”，它的国土被哪个国家包围？	法国	南非	瑞士	意大利 	4
320	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G明月几时有，把酒问青天。是谁的词？	李白	杜甫	苏轼	白居易	3
321	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G星垂平野阔，月涌大江流是谁的诗句？	杜甫	苏轼	白居易	杨万里	1
322	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G南方产量最大，分布最广的水果是	苹果	西瓜	柑橘	荔枝	3
323	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G山重水复疑无路，柳暗花明又一村是谁写的？	辛弃疾	陆游	李清照	苏轼	2
324	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G我国古代哪位文学家曾两度到杭州做官？	辛弃疾	陆游	苏轼	杨万里	3
325	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G标志北宋灭亡的历史事件是？	靖康之变	澶渊之盟	金朝建立	南宋建立	1
326	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪个地方是回教圣地？	罗马	麦加	大马士革	巴格达	2
327	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪个国家位于尼罗河下游？	以色列	巴勒斯坦	约旦	埃及	4
328	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G“毛公鼎”是什么时代的青铜器？	春秋	战国	东周	西周	4
329	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G春秋时期同晋国争霸中原的诸侯国是？	楚	秦	宋	齐	1
330	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪个国家最先有民主政府？	罗马	希腊	英国	尼德兰	2
331	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪个朝代没有修过长城？	秦	西汉	唐	明	3
332	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪个民族建立的北魏：	匈奴	羌族	鲜卑族	女真	3
333	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪位三国人物甘愿受一百脊杖行苦肉计再去曹营诈降？	黄忠	黄盖	蔡瑁	张允	2
334	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪位人物拥有无字碑	武则天	唐太宗	秦始皇	汉武帝  	1
335	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪位提出“性恶论”？	荀子	墨子	庄子	老子	1
336	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G世界第一长河是？	湄公河	尼罗河	长江	亚马逊河	2
337	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪本中国古典名著中出现了一百零八条好汉？	水浒传	三国演义	隋唐英雄传	左传	1
338	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪本著作不是“四书”之一？	大学	庄子	论语	中庸	2
339	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪次战役奠定了曹操统一北方的基础：	赤壁之战	虎牢关之战	官渡之战	徐州之战	3
340	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪种动物的眼睛会一天三变？	狗	鱼类	老鼠	猫	4
341	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下面不是我国古代的四大美女的是	貂蝉	王昭君	赵飞燕	杨玉环	3
342	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G埃及艳后克莉奥佩脱拉是哪个国家的人	罗马	埃及	希腊	马其顿	3
343	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G东蓠把酒黄昏后，有暗香盈袖，莫道不消魂，帘卷西风，人比黄花瘦。是谁所作：	李清照	李煜	李商隐	柳永	1
344	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G成吉思汗病逝于哪一年？	1227年	1217年	1226年	1220年	1
345	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G三国时，刘备为了对抗曹军，派诸葛亮在哪儿与孙权结盟？	建康	柴桑	小沛	零陵	2
346	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G西厢记的作者是？	施耐庵	关汉卿	罗贯中	王实甫	4
347	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G曾为世界最高的巴米扬大佛位于哪一个国家？	巴基斯坦	哈萨克斯坦	阿富汗	伊朗	3
348	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G诗经共有多少篇	305	308	405	265	1
349	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G三国时，以下谁不是刘备的“五虎将”：	关羽	魏延	赵云	马超	2
350	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G鸡为什么要吃小石子？	帮助消化	锻炼捕食能力	条件反射	动物本能	1
351	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G下面哪一位不是“唐宋八大家”	韩愈	范仲淹	柳宗元	欧阳修	2
352	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G明哲保身这个成语出自哪里？	易经	论语	诗经	老子	3
353	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G历史上曾有的“风声雨声读书声声声入耳，家事国事天下事事事关心”对联是在：	东林书院	岳麓书院	白鹿洞书院	石鼓书院	1
354	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G第一届足球世界杯的得主是哪个国家？	阿根廷 	巴西 	意大利 	乌拉圭 	4
355	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G大卫贝克汉姆在皇家马德里所穿的队服号码是多少号 ？	7号 	32号	23号	17号	3
356	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G哪位拳手在退役后饱受帕金森综合症的困扰	泰森 	霍利菲尔德 	阿里	克里琴科 	3
357	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G足球上一场比赛打进三个任意球上演任意球帽子戏法的球员是哪位： 	皮尔洛	米哈伊洛维奇	雷科巴 	齐沃	2
358	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在NBA首次获得冠军戒指的中国球员是哪位？	王治郅	姚明	巴特尔 	易建联	3
359	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G中国队首次进入世界杯决赛阶段的是在哪年？	1998年	1994年	2002年	2006年	3
360	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G去年连破女子撑杆跳世界纪录的运动员叫什么名字？	基里连科	萨芬娜	帕夫柳琴科	伊辛巴耶娃	4
361	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在网球场上号称发球机器的运动员叫什么名字? 	桑普拉斯	张德培	萨芬	伊万尼塞维奇	4
362	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G在足球上打入上帝之手这粒入球的运动员叫什么名字	梅西 	贝利	马拉多纳 	齐达内	3
363	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#GNBA球员纳什是哪个国家的运动员：	美国	西班牙	德国	加拿大	4
364	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G2008年的奥运篮球金牌是由美国队获得，那亚军球队是哪支?	德国	立陶宛	西班牙	阿根廷	3
365	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G被誉为“欧洲的巴西队”的球队是哪支球队?	意大利	西班牙	前南斯拉夫	葡萄牙	3
366	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G被誉为现代足球的起源地是哪里？	法国	德国	英格兰 	爱尔兰	3
367	1	欢迎来到乌龙辞典，我这里要考一考你：\n\t#G被誉为世界第一高度的足球运动员是哪位？	克劳奇	卡鲁	科勒 	米洛舍维奇	3
